model1,model2,chi2,p_value,b,c,n_common,significant
gpt-5,gemini-3-pro,137.92820512820512,0.0,180,15,720,True
gpt-5,claude-opus-4.5,656.0135951661631,0.0,661,1,728,True
gpt-5,deepseek-v3.1,253.39016393442623,0.0,292,13,728,True
gpt-5,command-r-plus,684.0014577259475,0.0,686,0,728,True
gemini-3-pro,claude-opus-4.5,486.0182926829268,0.0,491,1,720,True
gemini-3-pro,deepseek-v3.1,37.128125,1.1061670468492935e-09,215,105,720,True
gemini-3-pro,command-r-plus,512.0019455252918,0.0,514,0,720,True
claude-opus-4.5,deepseek-v3.1,371.2082262210797,0.0,4,385,728,True
claude-opus-4.5,command-r-plus,24.03846153846154,9.443043861301348e-07,26,0,728,True
deepseek-v3.1,command-r-plus,405.002457002457,0.0,407,0,728,True
