,,Sample,Semantic,Complete,Overall,Issues
,,1,5,5,5,None
,,2,5,5,4,"Movie title for Amelie wrongly translated + inconsistency in names --> sometimes translated in chinese, sometimes not
Vary Articulation ≠ 变化发音 --> 演奏法
Main issue: some technical musical terms are not translated correctly and names
But semantically we get the idea and understand what it means"
,,3,5,5,5,None
,,4,5,5,5,None
,,5,5,5,5,None
,,6,5,5,5,None
,,7,5,5,5,None
,,8,5,5,5,None
,,9,5,5,5,None
,,10,4,5,4,"Could you write a love letter to a girl that I really like? ≠ 你能给我真正喜欢的女孩写一封情书吗 (=could you write a love letter to the real girl I like?)--> 你能给我真的很喜欢的女孩写一封情书吗
Habibi not translated once but is translated in the poem"
